,nflverse_game_id,old_game_id,play_id,possession_team,offense_formation,offense_personnel,defenders_in_box,defense_personnel,number_of_pass_rushers,ngs_air_yards,time_to_throw,was_pressure,route,defense_man_zone_type,defense_coverage_type
3,2019_01_GB_CHI,2019090500,71,GB,I_FORM,"2 RB, 1 TE, 2 WR",8.0,"3 DL, 4 LB, 4 DB",4.0,-2.09,2.876,False,OUT,ZONE_COVERAGE,COVER_6
8,2019_01_GB_CHI,2019090500,216,CHI,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"2 DL, 3 LB, 6 DB",2.0,2.39,1.502,False,HITCH,ZONE_COVERAGE,COVER_4
10,2019_01_GB_CHI,2019090500,260,CHI,EMPTY,"2 RB, 1 TE, 2 WR",6.0,"2 DL, 3 LB, 6 DB",3.0,13.66,3.237,False,OUT,MAN_COVERAGE,COVER_1
15,2019_01_GB_CHI,2019090500,381,GB,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,2.93,1.835,False,FLAT,MAN_COVERAGE,COVER_1
24,2019_01_GB_CHI,2019090500,596,CHI,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"1 DL, 4 LB, 6 DB",3.0,0.420000000000002,3.07,True,FLAT,ZONE_COVERAGE,COVER_2
28,2019_01_GB_CHI,2019090500,676,GB,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",2.0,4.49,1.535,False,SLANT,ZONE_COVERAGE,COVER_6
29,2019_01_GB_CHI,2019090500,698,GB,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",5.0,4.92,1.836,False,OUT,ZONE_COVERAGE,COVER_3
30,2019_01_GB_CHI,2019090500,722,GB,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,3.12,2.903,False,HITCH,ZONE_COVERAGE,COVER_3
34,2019_01_GB_CHI,2019090500,822,CHI,SHOTGUN,"2 RB, 0 TE, 3 WR",6.0,"2 DL, 3 LB, 6 DB",5.0,3.66,1.668,False,HITCH,ZONE_COVERAGE,COVER_3
37,2019_01_GB_CHI,2019090500,896,CHI,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",6.0,5.25,1.935,True,HITCH,ZONE_COVERAGE,COVER_3
39,2019_01_GB_CHI,2019090500,941,CHI,SHOTGUN,"2 RB, 0 TE, 3 WR",5.0,"2 DL, 3 LB, 6 DB",4.0,9.81999999999999,2.57,False,HITCH,ZONE_COVERAGE,COVER_3
42,2019_01_GB_CHI,2019090500,1001,CHI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",6.0,17.13,3.236,True,CROSS,MAN_COVERAGE,COVER_1
46,2019_01_GB_CHI,2019090500,1082,GB,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",4.0,44.72,4.17,False,POST,ZONE_COVERAGE,COVER_6
47,2019_01_GB_CHI,2019090500,1106,GB,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",2.0,0.5,2.836,False,CROSS,ZONE_COVERAGE,COVER_3
48,2019_01_GB_CHI,2019090500,1135,GB,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",1.0,2.26,1.335,False,OUT,ZONE_COVERAGE,COVER_4
49,2019_01_GB_CHI,2019090500,1159,GB,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,14.11,3.837,False,OUT,ZONE_COVERAGE,COVER_4
53,2019_01_GB_CHI,2019090500,1248,CHI,EMPTY,"2 RB, 1 TE, 2 WR",6.0,"2 DL, 3 LB, 6 DB",4.0,20.6,2.436,False,GO,MAN_COVERAGE,COVER_1
54,2019_01_GB_CHI,2019090500,1272,CHI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",6.0,3.23,2.536,False,CROSS,MAN_COVERAGE,COVER_1
55,2019_01_GB_CHI,2019090500,1294,CHI,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"2 DL, 3 LB, 6 DB",4.0,6.01000000000001,1.668,False,SLANT,MAN_COVERAGE,COVER_1
59,2019_01_GB_CHI,2019090500,1404,GB,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",5.0,8.17,1.935,False,HITCH,ZONE_COVERAGE,COVER_3
